Ardyn(NPB,1,1);Bahamut(NPB,1,2);Chaos(NPB,1,3);Emet-Selch(NPB,1,4);Gilgamesh(NPB,1,5);Kefka(CMB,1,6);Memiroa(CMB,1,7);Necron(CMB,1,8);Sephiroth(CMB,1,9);Ultimecia(NTB,1,10)
Ardyn(NPB,2,1);Bahamut(NPB,2,2);Chaos(NPB,2,3);Emet-Selch(NPB,2,4);Gilgamesh(NPB,2,5);Kefka(CMB,2,6);Memiroa(CMB,2,7);Necron(CMB,2,8);Sephiroth(CMB,2,9);Ultimecia(NTB,2,10)
Ardyn(NPB,3,1);Bahamut(NPB,3,2);Chaos(NPB,3,3);Emet-Selch(NPB,3,4);Gilgamesh(NPB,3,5);Kefka(CMB,3,6);Memiroa(CMB,3,7);Necron(CMB,3,8);Sephiroth(CMB,3,9);Ultimecia(NTB,3,10)
Ardyn(NPB,4,1);Bahamut(NPB,4,2);Chaos(NPB,4,3);Emet-Selch(NPB,4,4);Gilgamesh(NPB,4,5);Kefka(CMB,4,6);Memiroa(CMB,4,7);Necron(CMB,4,8);Sephiroth(CMB,4,9);Ultimecia(NTB,4,10)
Ardyn(NPB,5,1);Bahamut(NPB,5,2);Chaos(NPB,5,3);Emet-Selch(NPB,5,4);Gilgamesh(NPB,5,5);Kefka(CMB,5,6);Memiroa(CMB,5,7);Necron(CMB,5,8);Sephiroth(CMB,5,9);Ultimecia(NTB,5,10)
Ardyn(NPB,6,1);Bahamut(NPB,6,2);Chaos(NPB,6,3);Emet-Selch(NPB,6,4);Gilgamesh(NPB,6,5);Kefka(CMB,6,6);Memiroa(CMB,6,7);Necron(CMB,6,8);Sephiroth(CMB,6,9);Ultimecia(NTB,6,10)
Ardyn(NPB,7,1);Bahamut(NPB,7,2);Chaos(NPB,7,3);Emet-Selch(NPB,7,4);Gilgamesh(NPB,7,5);Kefka(CMB,7,6);Memiroa(CMB,7,7);Necron(CMB,7,8);Sephiroth(CMB,7,9);Ultimecia(NTB,7,10)
Ardyn(NPB,8,1);Bahamut(NPB,8,2);Chaos(NPB,8,3);Emet-Selch(NPB,8,4);Gilgamesh(NPB,8,5);Kefka(CMB,8,6);Memiroa(CMB,8,7);Necron(CMB,8,8);Sephiroth(CMB,8,9);Ultimecia(NTB,8,10)
Ardyn(NPB,9,1);Bahamut(NPB,9,2);Chaos(NPB,9,3);Emet-Selch(NPB,9,4);Gilgamesh(NPB,9,5);Kefka(CMB,9,6);Memiroa(CMB,9,7);Necron(CMB,9,8);Sephiroth(CMB,9,9);Ultimecia(NTB,9,10)
Ardyn(NPB,10,1);Bahamut(NPB,10,2);Chaos(NPB,10,3);Emet-Selch(NPB,10,4);Gilgamesh(NPB,10,5);Kefka(CMB,10,6);Memiroa(CMB,10,7);Necron(CMB,10,8);Sephiroth(CMB,10,9);Ultimecia(NTB,10,10)
Ardyn(NPB,11,1);Bahamut(NPB,11,2);Chaos(NPB,11,3);Emet-Selch(NPB,11,4);Gilgamesh(NPB,11,5);Kefka(CMB,11,6);Memiroa(CMB,11,7);Necron(CMB,11,8);Sephiroth(CMB,11,9);Ultimecia(NTB,11,10)
